2013-3-1 18:01:05: C:\Documents and Settings\ZTE\Desktop\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1\WinOutPut\Utility\adb>adb -s P893A21 shell service call window 1 i32 8888 
2013-3-1 18:01:05: Result: Parcel(00000000 00000000   '........')
2013-3-1 18:01:05: C:\Documents and Settings\ZTE\Desktop\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1\WinOutPut\Utility\adb>adb -s P893A21 forward tcp:4408  tcp:8888 
2013-3-1 18:01:05: C:\Documents and Settings\ZTE\Desktop\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1\WinOutPut\Utility\adb>adb -s P893A21 forward tcp:2408  tcp:1324 
2013-3-1 18:01:05: C:\Documents and Settings\ZTE\Desktop\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1\WinOutPut\Utility\adb>adb -s P893A21 shell am broadcast -a AgentServiceStart --ei port 1324 --ei width 960 --ei height 540 --ei delay 0 --ei bpp 2 
2013-3-1 18:01:06: Broadcasting: Intent { act=AgentServiceStart (has extras) }
2013-3-1 18:01:06: Broadcast completed: result=0
2013-3-1 18:01:06: C:\Documents and Settings\ZTE\Desktop\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1\WinOutPut\Utility\adb>pause
2013-3-1 18:01:06: Press any key to continue . . . 
2013-3-1 18:01:13: compile successfully, ready to run:
2013-3-1 18:01:13: ||| MESSAGE ||| BaseMo phone connecting.......
2013-3-1 18:01:13: ||| MESSAGE ||| BaseMo phone connected!!!
2013-3-1 18:01:15: ||| MESSAGE ||| AddMo phone connecting.......
2013-3-1 18:01:15: ||| MESSAGE ||| AddMo phone connected!!!
2013-3-1 18:01:15: ||| MESSAGE ||| switch_target_num(BaseMo);
2013-3-1 18:01:15: ||| MESSAGE ||| switch to BaseMo phone:
2013-3-1 18:01:15: ||| MESSAGE ||| loop 1 Start:
2013-3-1 18:01:15: ||| MESSAGE ||| ==== 5.1.1.1 Make call from book: Start!
2013-3-1 18:01:15: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost><RightMost>);
2013-3-1 18:01:17: ||| MESSAGE ||| Sleep(1000);
2013-3-1 18:01:18: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:01:18: ||| MESSAGE ||| Sleep(1000);
2013-3-1 18:01:19: ||| MESSAGE ||| navigate_to(Setting,Android);
2013-3-1 18:01:22: ||| MESSAGE ||| Sleep(1000);
2013-3-1 18:01:23: ||| MESSAGE ||| Tap_AndroidStr(networks);
2013-3-1 18:01:25: ||| MESSAGE ||| Sleep(1000);
2013-3-1 18:01:26: ||| MESSAGE ||| Tap_AndroidStr(Mode);
2013-3-1 18:01:28: ||| MESSAGE ||| Sleep(1000);
2013-3-1 18:01:29: ||| MESSAGE ||| Tap(455,693);
2013-3-1 18:01:29: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:01:34: ||| MESSAGE ||| CampToNetwork: 2G
2013-3-1 18:01:34: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost><RightMost>);
2013-3-1 18:01:36: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:01:36: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
2013-3-1 18:01:38: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:01:38: ||| MESSAGE ||| navigate_to(Contacts,Android);
2013-3-1 18:01:40: ||| MESSAGE ||| wait_for_androidtext(Contacts,5);
2013-3-1 18:01:42: ||| MESSAGE ||| Tap_AndroidStr(Contacts);
2013-3-1 18:01:45: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:01:47: ||| MESSAGE ||| press_keys(<DownArrow><DownArrow>);
2013-3-1 18:01:48: ||| MESSAGE ||| ==== Count ==>1
2013-3-1 18:01:48: ||| MESSAGE ||| Sleep(1000);
2013-3-1 18:01:49: ||| MESSAGE ||| wait_for_androidtext(Contacts,20);
2013-3-1 18:01:51: ||| MESSAGE ||| press_keys(<DownArrow><DownArrow>);
2013-3-1 18:01:52: ||| MESSAGE ||| Sleep(1000);
2013-3-1 18:01:53: ||| MESSAGE ||| press_keys(<Ok>);
2013-3-1 18:01:53: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:01:55: ||| MESSAGE ||| press_keys(<Send>);
2013-3-1 18:01:56: ||| MESSAGE ||| Sleep(2000);
2013-3-1 18:01:58: ||| MESSAGE ||| wait_for_image(20130302134846.bmp,20);
2013-3-1 18:02:07: ||| MESSAGE ||| Make call :successful!
2013-3-1 18:02:07: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:02:12: ||| MESSAGE ||| Tap_AndroidStr(End);
2013-3-1 18:02:14: ||| MESSAGE ||| Sleep(4000);
2013-3-1 18:02:18: ||| MESSAGE ||| press_keys(<RightMost>);
2013-3-1 18:02:19: ||| MESSAGE ||| ==== Count ==>2
2013-3-1 18:02:19: ||| MESSAGE ||| Sleep(1000);
2013-3-1 18:02:20: ||| MESSAGE ||| wait_for_androidtext(Contacts,20);
