2013-3-1 18:38:33: C:\Documents and Settings\ZTE\Desktop\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1\WinOutPut\Utility\adb>adb -s P893A21 shell service call window 1 i32 8888 
2013-3-1 18:38:33: Result: Parcel(00000000 00000000   '........')
2013-3-1 18:38:33: C:\Documents and Settings\ZTE\Desktop\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1\WinOutPut\Utility\adb>adb -s P893A21 forward tcp:4408  tcp:8888 
2013-3-1 18:38:33: C:\Documents and Settings\ZTE\Desktop\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1\WinOutPut\Utility\adb>adb -s P893A21 forward tcp:2408  tcp:1324 
2013-3-1 18:38:33: C:\Documents and Settings\ZTE\Desktop\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1\WinOutPut\Utility\adb>adb -s P893A21 shell am broadcast -a AgentServiceStart --ei port 1324 --ei width 960 --ei height 540 --ei delay 0 --ei bpp 2 
2013-3-1 18:38:34: Broadcasting: Intent { act=AgentServiceStart (has extras) }
2013-3-1 18:38:34: Broadcast completed: result=0
2013-3-1 18:38:34: C:\Documents and Settings\ZTE\Desktop\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1for challenger by zhaolei 0124\EasyTest2.0.4.1\WinOutPut\Utility\adb>pause
2013-3-1 18:38:34: Press any key to continue . . . 
2013-3-1 18:38:41: compile successfully, ready to run:
2013-3-1 18:38:41: ||| MESSAGE ||| BaseMo phone connecting.......
2013-3-1 18:38:41: ||| MESSAGE ||| BaseMo phone connected!!!
2013-3-1 18:38:42: ||| MESSAGE ||| AddMo phone connecting.......
2013-3-1 18:38:42: ||| MESSAGE ||| AddMo phone connected!!!
2013-3-1 18:38:42: ||| MESSAGE ||| switch_target_num(BaseMo);
2013-3-1 18:38:42: ||| MESSAGE ||| switch to BaseMo phone:
2013-3-1 18:38:43: ||| MESSAGE ||| loop 1 Start:
2013-3-1 18:38:43: ||| MESSAGE ||| ==== 5.1.1.2 Make call from history: Start!
2013-3-1 18:38:43: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost><RightMost>);
2013-3-1 18:38:44: ||| MESSAGE ||| Sleep(1000);
2013-3-1 18:38:45: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:38:46: ||| MESSAGE ||| Sleep(1000);
2013-3-1 18:38:47: ||| MESSAGE ||| navigate_to(Setting,Android);
2013-3-1 18:38:49: ||| MESSAGE ||| Sleep(1000);
2013-3-1 18:38:50: ||| MESSAGE ||| Tap_AndroidStr(networks);
2013-3-1 18:38:52: ||| MESSAGE ||| Sleep(1000);
2013-3-1 18:38:53: ||| MESSAGE ||| Tap_AndroidStr(Mode);
2013-3-1 18:38:56: ||| MESSAGE ||| Sleep(1000);
2013-3-1 18:38:57: ||| MESSAGE ||| Tap(455,693);
2013-3-1 18:38:57: ||| MESSAGE ||| Sleep(5000);
2013-3-1 18:39:02: ||| MESSAGE ||| CampToNetwork: 2G
2013-3-1 18:39:02: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost><RightMost>);
2013-3-1 18:39:03: ||| MESSAGE ||| press_keys(<Home>);
2013-3-1 18:39:04: ||| MESSAGE ||| press_keys(<RightMost><RightMost><RightMost>);
