20101203101424;0;0
20101203101428;-4221276496;-1150952384
20101203101441;4227772864;1382017736
20101203101447;0;0
20101203101447;-4231934408;-1530968488
20101203101454;0;0
20101203101459;0;0
20101203101502;4241619712;1879546288
20101203101506;2377464;84997280
20101203101512;2974176;106620928
20101203101519;4251417248;2232093480
20101203101529;-4258470416;-2483178096
20101203101531;0;0
20101203101531;0;0
20101203101535;-4262191800;-2613158280
20101203101543;0;0
20101203101549;0;0
20101203101553;0;0
20101203101602;0;0
20101203101610;0;0
20101203101616;0;0
20101203101623;4293832136;3747800216
